Age (Ma),Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu/Eu*,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,,2 settings（ssrf）,2 settings（rf）,7 detailed settings（ssrf）,7 detailed settings（rf）
3295,2.9,830,13200,126,227,0.02,12.7,2.1,3.5,0.448558844,19,9,84,30,119,27,253,52,,Continental,Continental,Continental arc,Continental arc
3450,2.6,801,14200,119,300,0.02,11.9,1,2.4,0.420696936,14,6,62,24,109,25,250,54,,Continental,Continental,Continental arc,Continental arc
3450,9.1,1038,13500,212,332,0.02,16.8,1.8,3.4,0.925758205,25,16,136,37,126,24,217,44,,Continental,Continental,Continental arc,Continental arc
2562,4.22,206,12902,25.1,139,0.017,2.38,0.36,0.88,0.459539305,5.12,1.7,19.9,6.82,29.7,7.22,71.9,12.2,,Continental,Continental,Continental arc,Continental arc
2570,5.47,363,9380,24.7,74.9,0.017,3.29,0.45,0.96,0.486028422,8.67,2.9,32,11.6,49.7,11.1,104,18.5,,Continental,Continental,Continental arc,Continental arc
2732,7.41,751,9740,127,202,0.016,14.4,2.15,3.63,0.338176643,20.2,6.06,70.9,25.5,115,27.4,270,44.6,,Continental,Continental,Continental arc,Continental arc
2509,7.34,396,9849,32.1,117,0.012,4.26,0.44,1.29,0.403922365,8.94,3.36,39.3,13.7,57.8,13.3,133,21.5,,Continental,Continental,Continental arc,Continental arc
2543,6.51,454,8514,46.5,106,0.011,4.01,1.39,2.43,0.44881759,14.7,4.23,46.7,15.7,65,13.9,132,22,,Continental,Continental,Continental arc,Continental arc
3450,2.7,579,13000,69,156,0.01,9.4,1.1,2.4,0.284002892,12,4,48,17,79,17,173,38,,Continental,Continental,Continental arc,Continental arc
3636,11.7,1211,12300,134,299,0.01,13.9,2.1,3.9,0.888544928,29,16,131,39,133,29,262,55,,Continental,Continental,Continental arc,Continental arc
2348,6.82,961,9750,52.8,81.5,0.009,4.47,1.12,2.68,0.180846493,18.7,6.65,83.3,31.7,138,30.9,303,49,,Continental,Oceanic,Continental arc,Continental arc
3472,2.962127237,508.94625,9880,53.6,140.5,0.0085,9.39,0.733,1.75,0.313353351,10.66,3.62,43.3,16.48,77,17.9,180.1,34.9,,Continental,Continental,Continental arc,Continental arc
2598,5.34,350,8771,28.2,80.1,0.008,3.49,1.06,1.31,0.507671297,9.58,3.09,33.9,12.5,50,11.1,111,18.1,,Continental,Continental,Continental arc,Continental arc
2483,7.8,1302,9997,101,318,0.007,11.9,1.07,2.43,0.188599976,17.2,7.11,102,43.7,216,54.9,576,91.7,,Continental,Continental,Continental arc,Continental arc
2607,7.69,662,8382,70.5,148,0.007,7.79,0.78,2.54,0.31643537,16.4,5.64,64.9,23,92.2,19.8,189,29.3,,Continental,Continental,Continental arc,Continental arc
2680,12.2,490,8735,61.5,117,0.007,5.74,1.04,2.23,0.368350539,14.2,4.41,51.1,16.8,69.5,14.9,145,23.2,,Continental,Continental,Continental arc,Continental arc
3456,4.947729011,402.94625,10520,53.3,139.7,0.007,2.92,0.84,1.72,0.571772758,8.59,2.92,35.4,13.46,63,15.66,170.5,33.46,,Continental,Continental,Continental arc,Continental arc
2476,3.65,248,9563,17.1,56.5,0.006,2.11,0.064,0.53,0.281057043,4.35,1.58,20,8.39,40.8,11,123,19.3,,Continental,Continental,Continental arc,Continental arc
2644,7.16,214,11139,37.2,152,0.006,6.59,0.22,0.63,0.356898059,4.18,1.51,17.6,6.9,34.1,8.04,84.8,16.2,,Continental,Continental,Continental arc,Continental arc
2602,6.97,238,10919,26.3,161,0.005,4.94,0.09,0.43,0.45378258,3.4,1.48,18.6,7.68,38.4,10.2,115,21.6,,Continental,Continental,Continental arc,Continental arc
2285,3.51,485,9262,35,108,0.004,2.93,0.22,1.04,0.416596922,7.83,2.95,40.6,16,76.4,19.2,202,36.6,,Continental,Continental,Continental arc,Continental arc
2622,16.7,1232,11003,225,515,0.004,11.9,0.92,2.6,0.301560943,23.3,8.72,109,41.5,177,35.8,326,55.1,,Continental,Continental,Continental arc,Continental arc
2672,5.39,485,8037,43,60.1,0.004,6,1.62,3.06,0.322691829,14.7,4.34,45.7,15.4,62.4,12.8,115,20.1,,Continental,Continental,Continental arc,Continental arc
2603,5.45,543,9421,49.6,129,0.002,3.88,0.87,2.36,0.562772353,14.5,4.81,53,19,79.4,17.7,171,27.4,,Continental,Continental,Continental arc,Continental arc
